"year","state","sales"
1985,"Alabama",33.34
1986,"Alabama",33.34
1987,"Alabama",33.34
1988,"Alabama",33.34
1989,"Alabama",33.34
1990,"Alabama",33.34
1991,"Alabama",33.34
1992,"Alabama",33.34
1993,"Alabama",33.34
1994,"Alabama",33.34
1995,"Alabama",33.34
1996,"Alabama",33.34
1997,"Alabama",33.34
1998,"Alabama",33.34
1999,"Alabama",33.34
2000,"Alabama",33.34
2001,"Alabama",33.34
2002,"Alabama",33.34
2003,"Alabama",33.34
2004,"Alabama",33.34
2005,"Alabama",33.34
2006,"Alabama",33.34
2007,"Alabama",33.34
2008,"Alabama",33.34
2009,"Alabama",33.34
2010,"Alabama",33.34
2011,"Alabama",50
2012,"Alabama",50
1985,"Alaska",33.34
1986,"Alaska",33.34
1987,"Alaska",33.34
1988,"Alaska",33.34
1989,"Alaska",33.34
1990,"Alaska",33.34
1991,"Alaska",33.34
1992,"Alaska",33.34
1993,"Alaska",33.34
1994,"Alaska",33.34
1995,"Alaska",33.34
1996,"Alaska",33.34
1997,"Alaska",33.34
1998,"Alaska",33.34
1999,"Alaska",33.34
2000,"Alaska",33.34
2001,"Alaska",33.34
2002,"Alaska",33.34
2003,"Alaska",33.34
2004,"Alaska",33.34
2005,"Alaska",33.34
2006,"Alaska",33.34
2007,"Alaska",33.34
2008,"Alaska",33.34
2009,"Alaska",33.34
2010,"Alaska",33.34
2011,"Alaska",33.34
2012,"Alaska",33.34
1985,"Arizona",33.34
1986,"Arizona",33.34
1987,"Arizona",33.34
1988,"Arizona",33.34
1989,"Arizona",33.34
1990,"Arizona",33.34
1991,"Arizona",33.34
1992,"Arizona",50
1993,"Arizona",50
1994,"Arizona",50
1995,"Arizona",50
1996,"Arizona",50
1997,"Arizona",50
1998,"Arizona",50
1999,"Arizona",50
2000,"Arizona",50
2001,"Arizona",50
2002,"Arizona",50
2003,"Arizona",50
2004,"Arizona",50
2005,"Arizona",50
2006,"Arizona",50
2007,"Arizona",60
2008,"Arizona",70
2009,"Arizona",80
2010,"Arizona",80
2011,"Arizona",80
2012,"Arizona",80
1985,"Arkansas",33.34
1986,"Arkansas",33.34
1987,"Arkansas",33.34
1988,"Arkansas",33.34
1989,"Arkansas",33.34
1990,"Arkansas",33.34
1991,"Arkansas",33.34
1992,"Arkansas",33.34
1993,"Arkansas",33.34
1994,"Arkansas",33.34
1995,"Arkansas",50
1996,"Arkansas",50
1997,"Arkansas",50
1998,"Arkansas",50
1999,"Arkansas",50
2000,"Arkansas",50
2001,"Arkansas",50
2002,"Arkansas",50
2003,"Arkansas",50
2004,"Arkansas",50
2005,"Arkansas",50
2006,"Arkansas",50
2007,"Arkansas",50
2008,"Arkansas",50
2009,"Arkansas",50
2010,"Arkansas",50
2011,"Arkansas",50
2012,"Arkansas",50
1985,"California",33.34
1986,"California",33.34
1987,"California",33.34
1988,"California",33.34
1989,"California",33.34
1990,"California",33.34
1991,"California",33.34
1992,"California",33.34
1993,"California",50
1994,"California",50
1995,"California",50
1996,"California",50
1997,"California",50
1998,"California",50
1999,"California",50
2000,"California",50
2001,"California",50
2002,"California",50
2003,"California",50
2004,"California",50
2005,"California",50
2006,"California",50
2007,"California",50
2008,"California",50
2009,"California",50
2010,"California",50
2011,"California",100
2012,"California",100
1985,"Colorado",33.34
1986,"Colorado",33.34
1987,"Colorado",33.34
1988,"Colorado",33.34
1989,"Colorado",33.34
1990,"Colorado",33.34
1991,"Colorado",33.34
1992,"Colorado",33.34
1993,"Colorado",33.34
1994,"Colorado",33.34
1995,"Colorado",33.34
1996,"Colorado",33.34
1997,"Colorado",33.34
1998,"Colorado",33.34
1999,"Colorado",33.34
2000,"Colorado",33.34
2001,"Colorado",33.34
2002,"Colorado",33.34
2003,"Colorado",33.34
2004,"Colorado",33.34
2005,"Colorado",33.34
2006,"Colorado",33.34
2007,"Colorado",33.34
2008,"Colorado",33.34
2009,"Colorado",100
2010,"Colorado",100
2011,"Colorado",100
2012,"Colorado",100
1985,"Connecticut",50
1986,"Connecticut",50
1987,"Connecticut",50
1988,"Connecticut",50
1989,"Connecticut",50
1990,"Connecticut",50
1991,"Connecticut",50
1992,"Connecticut",50
1993,"Connecticut",50
1994,"Connecticut",50
1995,"Connecticut",50
1996,"Connecticut",50
1997,"Connecticut",50
1998,"Connecticut",50
1999,"Connecticut",50
2000,"Connecticut",50
2001,"Connecticut",50
2002,"Connecticut",50
2003,"Connecticut",50
2004,"Connecticut",50
2005,"Connecticut",50
2006,"Connecticut",50
2007,"Connecticut",50
2008,"Connecticut",50
2009,"Connecticut",50
2010,"Connecticut",50
2011,"Connecticut",50
2012,"Connecticut",50
1985,"Delaware",33.34
1986,"Delaware",33.34
1987,"Delaware",33.34
1988,"Delaware",33.34
1989,"Delaware",33.34
1990,"Delaware",33.34
1991,"Delaware",33.34
1992,"Delaware",33.34
1993,"Delaware",33.34
1994,"Delaware",33.34
1995,"Delaware",33.34
1996,"Delaware",33.34
1997,"Delaware",33.34
1998,"Delaware",33.34
1999,"Delaware",33.34
2000,"Delaware",33.34
2001,"Delaware",33.34
2002,"Delaware",33.34
2003,"Delaware",33.34
2004,"Delaware",33.34
2005,"Delaware",33.34
2006,"Delaware",33.34
2007,"Delaware",33.34
2008,"Delaware",33.34
2009,"Delaware",33.34
2010,"Delaware",33.34
2011,"Delaware",33.34
2012,"Delaware",33.34
1985,"Florida",50
1986,"Florida",50
1987,"Florida",50
1988,"Florida",50
1989,"Florida",50
1990,"Florida",50
1991,"Florida",50
1992,"Florida",50
1993,"Florida",50
1994,"Florida",50
1995,"Florida",50
1996,"Florida",50
1997,"Florida",50
1998,"Florida",50
1999,"Florida",50
2000,"Florida",50
2001,"Florida",50
2002,"Florida",50
2003,"Florida",50
2004,"Florida",50
2005,"Florida",50
2006,"Florida",50
2007,"Florida",50
2008,"Florida",50
2009,"Florida",50
2010,"Florida",50
2011,"Florida",50
2012,"Florida",50
1985,"Georgia",33.34
1986,"Georgia",33.34
1987,"Georgia",33.34
1988,"Georgia",33.34
1989,"Georgia",33.34
1990,"Georgia",33.34
1991,"Georgia",33.34
1992,"Georgia",33.34
1993,"Georgia",33.34
1994,"Georgia",33.34
1995,"Georgia",50
1996,"Georgia",50
1997,"Georgia",50
1998,"Georgia",50
1999,"Georgia",50
2000,"Georgia",50
2001,"Georgia",50
2002,"Georgia",50
2003,"Georgia",50
2004,"Georgia",50
2005,"Georgia",50
2006,"Georgia",80
2007,"Georgia",90
2008,"Georgia",100
2009,"Georgia",100
2010,"Georgia",100
2011,"Georgia",100
2012,"Georgia",100
1985,"Hawaii",33.34
1986,"Hawaii",33.34
1987,"Hawaii",33.34
1988,"Hawaii",33.34
1989,"Hawaii",33.34
1990,"Hawaii",33.34
1991,"Hawaii",33.34
1992,"Hawaii",33.34
1993,"Hawaii",33.34
1994,"Hawaii",33.34
1995,"Hawaii",33.34
1996,"Hawaii",33.34
1997,"Hawaii",33.34
1998,"Hawaii",33.34
1999,"Hawaii",33.34
2000,"Hawaii",33.34
2001,"Hawaii",33.34
2002,"Hawaii",33.34
2003,"Hawaii",33.34
2004,"Hawaii",33.34
2005,"Hawaii",33.34
2006,"Hawaii",33.34
2007,"Hawaii",33.34
2008,"Hawaii",33.34
2009,"Hawaii",33.34
2010,"Hawaii",33.34
2011,"Hawaii",33.34
2012,"Hawaii",33.34
1985,"Idaho",33.34
1986,"Idaho",33.34
1987,"Idaho",33.34
1988,"Idaho",33.34
1989,"Idaho",33.34
1990,"Idaho",33.34
1991,"Idaho",33.34
1992,"Idaho",33.34
1993,"Idaho",33.34
1994,"Idaho",33.34
1995,"Idaho",50
1996,"Idaho",50
1997,"Idaho",50
1998,"Idaho",50
1999,"Idaho",50
2000,"Idaho",50
2001,"Idaho",50
2002,"Idaho",50
2003,"Idaho",50
2004,"Idaho",50
2005,"Idaho",50
2006,"Idaho",50
2007,"Idaho",50
2008,"Idaho",50
2009,"Idaho",50
2010,"Idaho",50
2011,"Idaho",50
2012,"Idaho",50
1985,"Illinois",33.34
1986,"Illinois",33.34
1987,"Illinois",50
1988,"Illinois",50
1989,"Illinois",50
1990,"Illinois",50
1991,"Illinois",50
1992,"Illinois",50
1993,"Illinois",50
1994,"Illinois",50
1995,"Illinois",50
1996,"Illinois",50
1997,"Illinois",50
1998,"Illinois",50
1999,"Illinois",66.67
2000,"Illinois",83.33
2001,"Illinois",100
2002,"Illinois",100
2003,"Illinois",100
2004,"Illinois",100
2005,"Illinois",100
2006,"Illinois",100
2007,"Illinois",100
2008,"Illinois",100
2009,"Illinois",100
2010,"Illinois",100
2011,"Illinois",100
2012,"Illinois",100
1985,"Indiana",33.34
1986,"Indiana",33.34
1987,"Indiana",33.34
1988,"Indiana",33.34
1989,"Indiana",33.34
1990,"Indiana",33.34
1991,"Indiana",33.34
1992,"Indiana",33.34
1993,"Indiana",33.34
1994,"Indiana",33.34
1995,"Indiana",33.34
1996,"Indiana",33.34
1997,"Indiana",33.34
1998,"Indiana",33.34
1999,"Indiana",33.34
2000,"Indiana",50
2001,"Indiana",50
2002,"Indiana",50
2003,"Indiana",50
2004,"Indiana",50
2005,"Indiana",50
2006,"Indiana",50
2007,"Indiana",60
2008,"Indiana",70
2009,"Indiana",80
2010,"Indiana",90
2011,"Indiana",100
2012,"Indiana",100
1985,"Iowa",100
1986,"Iowa",100
1987,"Iowa",100
1988,"Iowa",100
1989,"Iowa",100
1990,"Iowa",100
1991,"Iowa",100
1992,"Iowa",100
1993,"Iowa",100
1994,"Iowa",100
1995,"Iowa",100
1996,"Iowa",100
1997,"Iowa",100
1998,"Iowa",100
1999,"Iowa",100
2000,"Iowa",100
2001,"Iowa",100
2002,"Iowa",100
2003,"Iowa",100
2004,"Iowa",100
2005,"Iowa",100
2006,"Iowa",100
2007,"Iowa",100
2008,"Iowa",100
2009,"Iowa",100
2010,"Iowa",100
2011,"Iowa",100
2012,"Iowa",100
1985,"Kansas",33.34
1986,"Kansas",33.34
1987,"Kansas",33.34
1988,"Kansas",33.34
1989,"Kansas",33.34
1990,"Kansas",33.34
1991,"Kansas",33.34
1992,"Kansas",33.34
1993,"Kansas",33.34
1994,"Kansas",33.34
1995,"Kansas",33.34
1996,"Kansas",33.34
1997,"Kansas",33.34
1998,"Kansas",33.34
1999,"Kansas",33.34
2000,"Kansas",33.34
2001,"Kansas",33.34
2002,"Kansas",33.34
2003,"Kansas",33.34
2004,"Kansas",33.34
2005,"Kansas",33.34
2006,"Kansas",33.34
2007,"Kansas",33.34
2008,"Kansas",33.34
2009,"Kansas",33.34
2010,"Kansas",33.34
2011,"Kansas",33.34
2012,"Kansas",33.34
1985,"Kentucky",33.34
1986,"Kentucky",50
1987,"Kentucky",50
1988,"Kentucky",50
1989,"Kentucky",50
1990,"Kentucky",50
1991,"Kentucky",50
1992,"Kentucky",50
1993,"Kentucky",50
1994,"Kentucky",50
1995,"Kentucky",50
1996,"Kentucky",50
1997,"Kentucky",50
1998,"Kentucky",50
1999,"Kentucky",50
2000,"Kentucky",50
2001,"Kentucky",50
2002,"Kentucky",50
2003,"Kentucky",50
2004,"Kentucky",50
2005,"Kentucky",50
2006,"Kentucky",50
2007,"Kentucky",50
2008,"Kentucky",50
2009,"Kentucky",50
2010,"Kentucky",50
2011,"Kentucky",50
2012,"Kentucky",50
1985,"Louisiana",33.34
1986,"Louisiana",33.34
1987,"Louisiana",33.34
1988,"Louisiana",33.34
1989,"Louisiana",33.34
1990,"Louisiana",33.34
1991,"Louisiana",33.34
1992,"Louisiana",33.34
1993,"Louisiana",33.34
1994,"Louisiana",33.34
1995,"Louisiana",33.34
1996,"Louisiana",33.34
1997,"Louisiana",33.34
1998,"Louisiana",33.34
1999,"Louisiana",33.34
2000,"Louisiana",33.34
2001,"Louisiana",33.34
2002,"Louisiana",33.34
2003,"Louisiana",33.34
2004,"Louisiana",33.34
2005,"Louisiana",33.34
2006,"Louisiana",33.34
2007,"Louisiana",33.34
2008,"Louisiana",33.34
2009,"Louisiana",33.34
2010,"Louisiana",33.34
2011,"Louisiana",33.34
2012,"Louisiana",33.34
1985,"Maine",33.34
1986,"Maine",33.34
1987,"Maine",33.34
1988,"Maine",33.34
1989,"Maine",33.34
1990,"Maine",33.34
1991,"Maine",50
1992,"Maine",50
1993,"Maine",50
1994,"Maine",50
1995,"Maine",50
1996,"Maine",50
1997,"Maine",50
1998,"Maine",50
1999,"Maine",50
2000,"Maine",50
2001,"Maine",50
2002,"Maine",50
2003,"Maine",50
2004,"Maine",50
2005,"Maine",50
2006,"Maine",50
2007,"Maine",100
2008,"Maine",100
2009,"Maine",100
2010,"Maine",100
2011,"Maine",100
2012,"Maine",100
1985,"Maryland",33.34
1986,"Maryland",33.34
1987,"Maryland",33.34
1988,"Maryland",33.34
1989,"Maryland",33.34
1990,"Maryland",33.34
1991,"Maryland",33.34
1992,"Maryland",50
1993,"Maryland",50
1994,"Maryland",50
1995,"Maryland",50
1996,"Maryland",50
1997,"Maryland",50
1998,"Maryland",50
1999,"Maryland",50
2000,"Maryland",50
2001,"Maryland",50
2002,"Maryland",50
2003,"Maryland",50
2004,"Maryland",50
2005,"Maryland",50
2006,"Maryland",50
2007,"Maryland",50
2008,"Maryland",50
2009,"Maryland",50
2010,"Maryland",50
2011,"Maryland",50
2012,"Maryland",50
1985,"Massachusetts",50
1986,"Massachusetts",50
1987,"Massachusetts",50
1988,"Massachusetts",50
1989,"Massachusetts",50
1990,"Massachusetts",50
1991,"Massachusetts",50
1992,"Massachusetts",50
1993,"Massachusetts",50
1994,"Massachusetts",50
1995,"Massachusetts",50
1996,"Massachusetts",50
1997,"Massachusetts",50
1998,"Massachusetts",50
1999,"Massachusetts",50
2000,"Massachusetts",50
2001,"Massachusetts",50
2002,"Massachusetts",50
2003,"Massachusetts",50
2004,"Massachusetts",50
2005,"Massachusetts",50
2006,"Massachusetts",50
2007,"Massachusetts",50
2008,"Massachusetts",50
2009,"Massachusetts",50
2010,"Massachusetts",50
2011,"Massachusetts",50
2012,"Massachusetts",50
1985,"Michigan",33.34
1986,"Michigan",33.34
1987,"Michigan",33.34
1988,"Michigan",33.34
1989,"Michigan",33.34
1990,"Michigan",33.34
1991,"Michigan",40
1992,"Michigan",40
1993,"Michigan",50
1994,"Michigan",50
1995,"Michigan",50
1996,"Michigan",50
1997,"Michigan",80
1998,"Michigan",80
1999,"Michigan",90
2000,"Michigan",90
2001,"Michigan",90
2002,"Michigan",90
2003,"Michigan",90
2004,"Michigan",90
2005,"Michigan",90
2006,"Michigan",92.5
2007,"Michigan",92.5
2008,"Michigan",100
2009,"Michigan",100
2010,"Michigan",100
2011,"Michigan",100
2012,"Michigan",100
1985,"Minnesota",33.34
1986,"Minnesota",33.34
1987,"Minnesota",70
1988,"Minnesota",70
1989,"Minnesota",70
1990,"Minnesota",70
1991,"Minnesota",70
1992,"Minnesota",70
1993,"Minnesota",70
1994,"Minnesota",70
1995,"Minnesota",70
1996,"Minnesota",70
1997,"Minnesota",70
1998,"Minnesota",70
1999,"Minnesota",70
2000,"Minnesota",70
2001,"Minnesota",75
2002,"Minnesota",75
2003,"Minnesota",75
2004,"Minnesota",75
2005,"Minnesota",75
2006,"Minnesota",75
2007,"Minnesota",78
2008,"Minnesota",81
2009,"Minnesota",84
2010,"Minnesota",87
2011,"Minnesota",90
2012,"Minnesota",93
1985,"Mississippi",33.34
1986,"Mississippi",33.34
1987,"Mississippi",33.34
1988,"Mississippi",33.34
1989,"Mississippi",33.34
1990,"Mississippi",33.34
1991,"Mississippi",33.34
1992,"Mississippi",33.34
1993,"Mississippi",33.34
1994,"Mississippi",33.34
1995,"Mississippi",33.34
1996,"Mississippi",33.34
1997,"Mississippi",33.34
1998,"Mississippi",33.34
1999,"Mississippi",33.34
2000,"Mississippi",33.34
2001,"Mississippi",33.34
2002,"Mississippi",33.34
2003,"Mississippi",33.34
2004,"Mississippi",100
2005,"Mississippi",100
2006,"Mississippi",100
2007,"Mississippi",100
2008,"Mississippi",100
2009,"Mississippi",100
2010,"Mississippi",100
2011,"Mississippi",100
2012,"Mississippi",100
1985,"Missouri",33.34
1986,"Missouri",33.34
1987,"Missouri",33.34
1988,"Missouri",33.34
1989,"Missouri",33.34
1990,"Missouri",33.34
1991,"Missouri",33.34
1992,"Missouri",33.34
1993,"Missouri",33.34
1994,"Missouri",33.34
1995,"Missouri",33.34
1996,"Missouri",33.34
1997,"Missouri",33.34
1998,"Missouri",33.34
1999,"Missouri",100
2000,"Missouri",100
2001,"Missouri",100
2002,"Missouri",100
2003,"Missouri",100
2004,"Missouri",100
2005,"Missouri",100
2006,"Missouri",100
2007,"Missouri",100
2008,"Missouri",100
2009,"Missouri",100
2010,"Missouri",100
2011,"Missouri",100
2012,"Missouri",100
1985,"Montana",33.34
1986,"Montana",33.34
1987,"Montana",33.34
1988,"Montana",33.34
1989,"Montana",33.34
1990,"Montana",33.34
1991,"Montana",33.34
1992,"Montana",33.34
1993,"Montana",33.34
1994,"Montana",33.34
1995,"Montana",33.34
1996,"Montana",33.34
1997,"Montana",33.34
1998,"Montana",33.34
1999,"Montana",33.34
2000,"Montana",33.34
2001,"Montana",33.34
