"","Number","state","State_Acronym","year","BUSLICTAX","CORPINCTX","CORPLICTAX","PROPTAX","SLGRTAX","SVRNCTAX","TLINCTAX","TLSLTAX","TOTLTAX","INCTAX","SALESTAX","sales","perc_change_Sales","perc_change_CIT_Rev","OwnPartial_Elasticity","Avg_Elasticity","Region","group","type","year_pass_intro","year_effective"
"1",1,"Connecticut","CT",1983,22055,357364,5331,11,1798600,NA,535899,694464,2537725,178535,NA,50,0.399808015358771,0.0228713912321145,0.0572059347324256,0.150974048802816,"New England","t","Step-wise",2016,2016
"2",1,"Rhode Island","RI",2015,49502,176336,4861,2480,1620523,NA,1391704,661010,3165635,1215368,NA,100,0.999850007499625,0.247291820661178,0.247328918144026,0.247328918144026,"New England","t","Direct",2014,2015
"3",1,"Maine","ME",1991,21774,76053,2128,44558,744774,NA,656801,247705,1558231,580748,NA,50,0.399808015358771,0.275145649946526,0.688194431769013,0.327300933332633,"New England","t","Step-wise",2007,2007
"4",1,"New Hampshire","NH",1992,24145,95635,7713,319,686740,40,130593,686740,985415,34958,NA,50,0.399808015358771,-0.243940506793977,-0.610144112731395,-0.16807658858041,"New England","c","Step-wise",2020,2022
"5",1,"Vermont","VT",2006,13091,86083,4759,824375,801203,NA,628095,475148,2406661,542012,NA,50,0.399808015358771,0.220852010706569,0.552395155230656,0.552395155230656,"New England","c","Step-wise",2022,2023
"6",2,"Maryland","MD",1992,82062,216946,3982,193770,2739685,NA,3124396,1159900,6502494,2907450,NA,50,0.399808015358771,-0.163163531837251,-0.408104704181168,1.56902172686693,"Mideast","t","Step-wise",2018,2018
"7",2,"New York","NY",2007,149476,5416105,71518,NA,19505685,NA,39996097,8625797,63161582,34579992,NA,80,0.461538461538462,0.296345337186506,0.642081563904096,0.158208556574714,"Mideast","t","Step-wise",2014,2015
"8",2,"Delaware","DE",2017,120843,246175,1304919,NA,556490,NA,1427150,556490,3589030,1180975,NA,50,0.399808015358771,-0.255089690906159,-0.638030457386534,-0.114313371149241,"Mideast","t","Direct",2016,2017
"9",2,"New Jersey","NJ",1996,123395,1155270,129468,2770,7363746,NA,5889056,3045373,14384897,4733786,NA,50,0.399808015358771,0.115668910186122,0.289311133700822,0.223843685440235,"Mideast","t","Step-wise",2011,2012
"10",3,"Alabama","AL",2011,128898,301178,109434,315698,4575127,115975,3097084,2400488,8631984,2795906,NA,50,0.399808015358771,-0.348404149581244,-0.871428626233521,-0.133904649717541,"Southeast","c","Step-wise",2021,2021
"11",3,"Arkansas","AR",1995,54708,191600,9452,6395,1888834,12865,1238719,586897,3391785,1047119,NA,50,0.399808015358771,0.0389431761647968,0.0974046909235945,0.254812585041893,"Southeast",NA,"Step-wise",2019,2021
"12",3,"Georgia","GA",1995,65387,653296,28903,32893,4460160,NA,4494891,921485,9486639,3841595,NA,50,0.399808015358771,0.224563822949787,0.561679141795776,0.363015785822991,"Southeast","t","Step-wise",2005,2006
"13",3,"West Virginia","WV",1986,15391,88909,4553,2331,1144965,0,567499,333818,1848552,478590,NA,50,0.399808015358771,-0.105043292926602,-0.262734334708974,-0.262734334708974,"Southeast","c","Step-wise",2021,2022
"14",3,"Kentucky","KY",1986,24396,233524,42592,254518,1434204,229296,1053417,552930,3216343,819893,NA,50,0.399808015358771,0.0999982014711966,0.250115549538101,0.486167736280452,"Southeast","t","Step-wise",2018,2018
"15",3,"South Carolina","SC",1994,91326,219052,28920,12331,2322079,NA,1750048,648776,4501767,1530996,NA,50,0.399808015358771,0.216054487836091,0.540395588723285,0.307531752022386,"Southeast","t","Step-wise",2006,2007
"16",3,"North Carolina","NC",1989,57827,789261,122598,86892,2916047,1524,3820026,1214214,7369389,3030765,NA,50,0.399808015358771,0.219659567886045,0.549412616675359,-0.983068971404608,"Southeast","t","Step-wise",2015,2016
"17",4,"Indiana","IN",1996,47215,894403,4348,2876,3761281,574,4372373,893637,8437031,3477970,NA,50,0.399808015358771,0.0227261933569589,0.0568427657373635,-0.499441378999956,"Great Lakes","t","Step-wise",2006,2007
"18",4,"Illinois","IL",1987,58541,862435,74401,222432,5388013,0,3957612,1982704,10429524,3095177,NA,50,0.399808015358771,0.00316814757435798,0.00792417223430354,0.117103816975106,"Great Lakes","t","Step-wise",1998,1999
"19",4,"Wisconsin","WI",2006,284387,808200,16271,113585,5955106,3739,6714715,1827134,13795044,5906515,NA,60,0.181818181818182,0.032003680838145,0.176020244609797,0.112640246864633,"Great Lakes","t","Step-wise",2003,2006
"20",5,"North Dakota","ND",2016,59907,103069,NA,3910,NA,1550122,454194,479555,3709105,351125,1017269,50,0.399808015358771,-0.57397235635126,-1.43561993332275,0.739576011192879,"Plains","t","Direct",2015,2016
"21",5,"Nebraska","NE",1988,20538,73783,4520,3884,726593,2571,505818,278803,1342868,432035,NA,46.67,0.33320834895638,0.0900811580244466,0.270344840717778,0.494145195274217,"Plains","t","Direct",1987,1988
"22",6,"Arizona","AZ",1991,29695,192325,3987,278945,2677036,0,1437970,671235,4710745,1245645,NA,50,0.399808015358771,0.0671383314031444,0.16792642674484,-1.73770184862513,"Southwest","t","Step-wise",2005,2007
"23",7,"Montana","MT",2022,183629,291198,7694,359844,851812,227029,2678206,851812,4622866,2387008,NA,50,0.399808015358771,0.0813162700440639,0.203388293681641,0.203388293681641,"Rocky Mountain","c","Step-wise",2023,2025
"24",7,"Colorado","CO",2009,33003,329545,14674,0,3299250,285015,4732991,1175579,8682822,4403446,NA,100,0.999850007499625,-0.426111988690568,-0.426175911881191,-0.426175911881191,"Rocky Mountain","t","Direct",2008,2009
"25",7,"Idaho","ID",1995,32211,129470,705,111,814170,2538,729194,238418,1733120,599724,NA,50,0.399808015358771,0.359029020958316,0.898003559623831,1.19173894758743,"Rocky Mountain","c","Step-wise",2022,2022
"26",8,"Oregon","OR",1991,80274,149074,4575,142,424301,63079,2132779,424301,3029829,1983705,NA,50,0.399808015358771,0.00869102399126855,0.0217379933803218,0.529793832429298,"Far West","t","Step-wise",2003,2004
"27",8,"California","CA",1993,693479,4727879,87804,2931667,21574684,35407,21927879,4903070,49418058,17200000,NA,50,0.399808015358771,0.0453070023599718,0.113321896058825,0.0966278524536164,"Far West","t","Step-wise",2009,2011
"28",NA,NA,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c","Never",0,0
"29",NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c","Never",0,0
"30",NA,NA,"HI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c","Never",0,0
"31",NA,NA,"KS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c","Never",0,0
"32",NA,NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c","DWS-Step-wise",2023,2025
"33",NA,NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c","Never",0,0
"34",NA,NA,"OK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c","Never",0,0
